BA Rating,Title,Title,Year,Length,Genres,Average Rating,Votes
6.4,Ocean's Eight,Ocean's Eight,2018,110,"Action,Comedy,Crime",6.2,154836
6.3,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,2018,128,"Action,Adventure,Sci-Fi",6.2,231666
6.785384272,Zoe,Zoe,2018,104,"Romance,Sci-Fi",6.1,5996
6.784485369,Accident Man,Accident Man,2018,105,"Action,Crime,Thriller",6.1,6070
6.778842645,The Isle,The Isle,2018,96,"Fantasy,Mystery,Thriller",6.1,6539
6.765117457,Office Uprising,Office Uprising,2018,92,"Action,Comedy,Horror",6.1,7713
6.757776805,The Front Runner,The Front Runner,2018,113,"Biography,Drama,History",6.1,8361
6.708861404,Welcome to Marwen,Welcome to Marwen,2018,116,"Biography,Comedy,Drama",6.1,13078
6.679994537,Like Father,Like Father,2018,98,"Comedy,Drama",6.1,16235
6.675140346,Early Man,Early Man,2018,89,"Adventure,Animation,Comedy",6.1,16797
6.642295535,Book Club,Book Club,2018,104,"Comedy,Drama,Romance",6.1,20864
6.638717529,Super Troopers 2,Super Troopers 2,2018,99,"Comedy,Crime,Mystery",6.1,21337
6.628601128,Gringo,Gringo,2018,111,"Action,Comedy,Crime",6.1,22709
6.617432591,Braven,Braven,2018,94,"Action,Drama",6.1,24286
6.614633221,The Perfection,The Perfection,2018,90,"Drama,Horror,Thriller",6.1,24692
6.573466147,Anon,Anon,2018,100,"Action,Crime,Drama",6.1,31217
6.563705376,The Girl in the Spider's Web,The Girl in the Spider's Web,2018,115,"Action,Crime,Drama",6.1,32934
6.554135908,Hotel Artemis,Hotel Artemis,2018,94,"Action,Crime,Drama",6.1,34689
6.490738572,The Kissing Booth,The Kissing Booth,2018,105,"Comedy,Romance",6.1,48487
6.5,Mile 22,Mile 22,2018,94,"Action,Thriller",6.1,54081
6.4,Mortal Engines,Mortal Engines,2018,128,"Action,Adventure,Fantasy",6.1,83650
6.3,Rampage,Rampage,2018,107,"Action,Adventure,Sci-Fi",6.1,122950
6.774276181,The Mercy,The Mercy,2018,112,"Adventure,Biography,Drama",6,6030
6.761605849,The Night Eats the World,La nuit a dévoré le monde,2018,93,"Drama,Horror,Thriller",6,6968
6.74305558,A.I. Rising,A.I. Rising,2018,85,"Drama,Romance,Sci-Fi",6,8399
6.703289389,Vox Lux,Vox Lux,2018,114,"Drama,Music",6,11721
6.668585696,The Princess Switch,The Princess Switch,2018,101,Romance,6,14943
6.655376904,Greta,Greta,2018,98,"Drama,Mystery,Thriller",6,16259
6.647071354,Traffik,Traffik,2018,96,"Action,Crime,Drama",6,17114
6.631322585,Destination Wedding,Destination Wedding,2018,87,"Comedy,Drama,Romance",6,18797
6.501382834,The House with a Clock in Its Walls,The House with a Clock in Its Walls,2018,105,"Comedy,Fantasy,Horror",6,36718
6.4,The Spy Who Dumped Me,The Spy Who Dumped Me,2018,117,"Action,Adventure,Comedy",6,56113
6.691625168,Assassination Nation,Assassination Nation,2018,108,"Action,Comedy,Crime",5.9,11155
6.632783381,Unfriended: Dark Web,Unfriended: Dark Web,2018,92,"Horror,Mystery,Thriller",5.9,16094
6.621865222,High Life,High Life,2018,113,"Adventure,Drama,Mystery",5.9,17099
6.595738265,Cam,Cam,2018,94,"Horror,Mystery,Thriller",5.9,19632
6.518804002,Overboard,Overboard,2018,112,"Comedy,Romance",5.9,28333
6.508525997,Sierra Burgess Is a Loser,Sierra Burgess Is a Loser,2018,105,"Comedy,Drama,Romance",5.9,29662
6.749032075,I Still See You,I Still See You,2018,98,"Fantasy,Thriller",5.8,6259
6.744892757,Mary Magdalene,Mary Magdalene,2018,120,"Biography,Drama",5.8,6507
6.740394181,Acrimony,Acrimony,2018,120,"Drama,Romance,Thriller",5.8,6779
6.704990756,Eli,Eli,2018,98,Horror,5.8,9014
6.692942783,The Vanishing,Keepers,2018,107,"Crime,Drama,Mystery",5.8,9815
6.684475471,In Darkness,In Darkness,2018,100,"Mystery,Thriller",5.8,10391
6.678962385,Kin,Kin,2018,102,"Action,Crime,Drama",5.8,10772
6.672071371,7 Days in Entebbe,Entebbe,2018,107,"Action,Drama,History",5.8,11255
6.604638931,Second Act,Second Act,2018,103,"Comedy,Drama,Romance",5.8,16418
6.543444748,Tau,Tau,2018,97,"Sci-Fi,Thriller",5.8,21914
6.398770325,Extinction,Extinction,2018,95,"Action,Drama,Sci-Fi",5.8,39375
6.2,Skyscraper,Skyscraper,2018,102,"Action,Adventure,Thriller",5.8,88054
6.747766762,The Holiday Calendar,The Holiday Calendar,2018,95,"Drama,Romance",5.7,5730
6.740917958,I Think We're Alone Now,I Think We're Alone Now,2018,93,"Drama,Mystery,Sci-Fi",5.7,6099
6.723049086,The Domestics,The Domestics,2018,95,"Action,Horror,Sci-Fi",5.7,7085
6.718315424,Little Italy,Little Italy,2018,102,"Comedy,Romance",5.7,7352
6.714938428,Final Score,Final Score,2018,104,"Action,Drama,Thriller",5.7,7544
6.664780241,Uncle Drew,Uncle Drew,2018,103,"Comedy,Sport",5.7,10554
6.489575664,The Darkest Minds,The Darkest Minds,2018,104,"Action,Adventure,Drama",5.7,24069
6.315344737,Insidious: The Last Key,Insidious: The Last Key,2018,103,"Horror,Mystery,Thriller",5.7,45141
6.0,The Meg,The Meg,2018,113,"Action,Horror,Sci-Fi",5.7,125454
6.713408429,The Man Who Killed Hitler and Then The Bigfoot,The Man Who Killed Hitler and Then The Bigfoot,2018,98,"Adventure,Drama,Sci-Fi",5.6,6946
6.704961917,Spinning Man,Spinning Man,2018,100,"Drama,Mystery,Thriller",5.6,7384
6.68312554,Billionaire Boys Club,Billionaire Boys Club,2018,108,"Biography,Drama,Thriller",5.6,8548
6.596254395,Goosebumps 2: Haunted Halloween,Goosebumps 2: Haunted Halloween,2018,90,"Adventure,Comedy,Family",5.6,13684
6.577404326,Batman Ninja,Batman Ninja,2018,85,"Action,Animation",5.6,14919
6.473023885,Nothing to Lose,Nada a Perder,2018,134,"Biography,Drama",5.6,22723
6.419234557,Night School,Night School,2018,111,Comedy,5.6,27521
6.416383062,Life of the Party,Life of the Party,2018,105,Comedy,5.6,27793
6.40916591,Hold the Dark,Hold the Dark,2018,125,"Drama,Horror,Mystery",5.6,28490
6.0,Pacific Rim: Uprising,Pacific Rim: Uprising,2018,111,"Action,Adventure,Sci-Fi",5.6,93611
6.72238489,The Little Stranger,The Little Stranger,2018,111,"Drama,Horror,Mystery",5.5,5957
6.662121713,King of Thieves,King of Thieves,2018,108,"Crime,Drama",5.5,8877
6.644841696,Wildling,Wildling,2018,92,"Drama,Fantasy,Horror",5.5,9771
6.632578482,Hell Fest,Hell Fest,2018,89,Horror,5.5,10422
6.618008859,The Package,The Package,2018,94,Comedy,5.5,11214
6.459777851,Zero,Zero,2018,164,"Comedy,Drama,Romance",5.5,21364
6.448797107,The Nutcracker and the Four Realms,The Nutcracker and the Four Realms,2018,99,"Adventure,Family,Fantasy",5.5,22194
6.441670965,Replicas,Replicas,2018,107,"Drama,Sci-Fi,Thriller",5.5,22743
6.242375362,I Feel Pretty,I Feel Pretty,2018,110,"Comedy,Romance",5.5,42366
