name,idevent,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
GuardiaN,2757;1666,2757,1666,91,94,0.97,0.65,65,-3,20,12,1.67,1.24,65.00%,21.70%,74,46,15,2,1,1,36,44,0,10,1,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=1666
GuardiaN,2757;2027,2757,2027,114,128,0.89,0.57,84,-14,23,17,1.35,1.1,91.30%,18.30%,117,57,24,3,0,0,21,67,6,20,1,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=2027
GuardiaN,2757;2062,2757,2062,85,77,1.1,0.66,51,8,15,13,1.15,1.08,66.70%,15.20%,77,27,16,6,2,0,20,45,3,18,0,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=2062
GuardiaN,2757;2471,2757,2471,94,88,1.07,0.68,70,6,24,13,1.85,1.37,79.20%,23.50%,69,52,12,6,0,0,12,62,7,10,3,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=2471
GuardiaN,2757;2720,2757,2720,71,68,1.04,0.65,52,3,15,14,1.07,1.14,80.00%,23.10%,57,35,15,2,0,0,12,46,4,8,1,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=2720
GuardiaN,2757;3247,2757,3247,218,157,1.39,0.79,143,61,34,17,2,1.18,76.50%,16.20%,133,85,43,13,2,0,24,143,8,41,2,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=3247
GuardiaN,2757;3564,2757,3564,152,140,1.09,0.7,112,12,17,20,0.85,0.91,82.40%,12.10%,104,79,27,5,1,0,19,103,11,18,1,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=3564
GuardiaN,2757;3883,2757,3883,179,160,1.12,0.67,126,19,22,22,1,0.94,90.90%,14.80%,141,80,40,5,1,0,21,123,10,25,0,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=3883
GuardiaN,2757;4443,2757,4443,85,98,0.87,0.52,61,-13,12,10,1.2,0.93,66.70%,9.90%,101,40,18,3,0,0,8,63,4,8,2,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=4443
MINISE,2826;1553,2826,1553,41,60,0.68,0.53,29,-19,6,9,0.67,0.86,83.30%,15.20%,49,20,6,3,0,0,18,11,0,11,1,0,https://www.hltv.org/stats/players/individual/2826/MINISE?event=1553
JACKZ,284;3883,284,3883,94,109,0.86,0.66,66,-15,9,17,0.53,0.78,66.70%,9.70%,76,46,13,6,1,0,72,1,4,15,2,0,https://www.hltv.org/stats/players/individual/284/JACKZ?event=3883
JACKZ,284;4443,284,4443,146,162,0.9,0.62,101,-16,32,21,1.52,1.2,75.00%,21.10%,134,65,30,3,3,0,108,1,17,19,1,0,https://www.hltv.org/stats/players/individual/284/JACKZ?event=4443
JACKZ,284;4866,284,4866,164,202,0.81,0.52,116,-38,21,34,0.62,0.82,66.70%,8.10%,198,80,25,10,1,0,134,1,4,24,0,1,https://www.hltv.org/stats/players/individual/284/JACKZ?event=4866
JACKZ,284;6372,284,6372,147,162,0.91,0.56,111,-15,22,23,0.96,0.94,77.30%,13.00%,153,82,23,5,1,0,113,1,6,27,0,1,https://www.hltv.org/stats/players/individual/284/JACKZ?event=6372
EXR,2881;1270,2881,1270,53,46,1.15,0.71,36,7,6,4,1.5,0.98,100.00%,15.00%,39,21,13,2,0,0,46,0,0,6,1,0,https://www.hltv.org/stats/players/individual/2881/EXR?event=1270
EXR,2881;1333,2881,1333,52,56,0.93,0.7,33,-4,11,10,1.1,1.18,72.70%,26.70%,41,19,11,2,0,1,41,0,0,10,1,0,https://www.hltv.org/stats/players/individual/2881/EXR?event=1333
raalz,2898;1270,2898,1270,49,48,1.02,0.73,32,1,7,8,0.88,0.99,57.10%,13.30%,35,19,11,1,1,0,37,0,2,8,2,0,https://www.hltv.org/stats/players/individual/2898/raalz?event=1270
raalz,2898;1333,2898,1333,44,49,0.9,0.6,29,-5,4,6,0.67,0.8,75.00%,9.10%,44,18,7,4,0,0,37,0,0,7,0,0,https://www.hltv.org/stats/players/individual/2898/raalz?event=1333
f0rest,29;1270,29,1270,199,161,1.24,0.74,131,38,29,23,1.26,1.06,82.80%,16.20%,138,78,40,11,2,0,168,3,0,25,0,3,https://www.hltv.org/stats/players/individual/29/f0rest?event=1270
f0rest,29;1333,29,1333,170,140,1.21,0.81,111,30,31,16,1.94,1.27,90.30%,22.00%,100,67,33,9,1,1,131,9,0,28,2,0,https://www.hltv.org/stats/players/individual/29/f0rest?event=1333
f0rest,29;1444,29,1444,219,216,1.01,0.7,145,3,40,41,0.98,1.09,77.50%,19.50%,169,92,36,15,2,0,138,34,0,43,2,2,https://www.hltv.org/stats/players/individual/29/f0rest?event=1444
f0rest,29;1553,29,1553,238,201,1.18,0.82,157,37,38,53,0.72,1.02,81.60%,18.70%,134,102,37,13,4,1,170,15,1,47,5,0,https://www.hltv.org/stats/players/individual/29/f0rest?event=1553
f0rest,29;1611,29,1611,186,178,1.04,0.73,130,8,39,17,2.29,1.32,69.20%,18.90%,126,86,33,10,1,0,115,22,5,42,1,1,https://www.hltv.org/stats/players/individual/29/f0rest?event=1611
f0rest,29;1617,29,1617,149,135,1.1,0.77,93,14,27,25,1.08,1.15,92.60%,24.50%,101,49,34,8,2,0,75,44,1,26,2,1,https://www.hltv.org/stats/players/individual/29/f0rest?event=1617
f0rest,29;1666,29,1666,95,88,1.08,0.79,58,7,14,17,0.82,1.01,71.40%,18.50%,62,30,21,5,2,0,65,7,0,21,2,0,https://www.hltv.org/stats/players/individual/29/f0rest?event=1666
f0rest,29;2027,29,2027,132,126,1.05,0.73,90,6,19,13,1.46,1.07,78.90%,17.20%,92,61,18,9,2,0,75,25,6,25,1,1,https://www.hltv.org/stats/players/individual/29/f0rest?event=2027
f0rest,29;2062,29,2062,87,86,1.01,0.71,62,1,13,16,0.81,0.98,69.20%,15.80%,61,43,13,6,0,0,33,23,3,28,0,0,https://www.hltv.org/stats/players/individual/29/f0rest?event=2062
f0rest,29;3564,29,3564,137,124,1.1,0.72,90,13,18,11,1.64,1.04,66.70%,13.30%,100,55,26,7,1,1,91,19,1,24,2,0,https://www.hltv.org/stats/players/individual/29/f0rest?event=3564
f0rest,29;3883,29,3883,175,162,1.08,0.7,120,13,21,15,1.4,0.99,76.20%,13.20%,130,77,34,6,3,0,133,15,1,25,1,0,https://www.hltv.org/stats/players/individual/29/f0rest?event=3883
f0rest,29;4443,29,4443,38,77,0.49,0.39,31,-39,4,9,0.44,0.72,75.00%,8.80%,67,25,5,1,0,0,13,16,0,9,0,0,https://www.hltv.org/stats/players/individual/29/f0rest?event=4443
ceh9,301;1270,301,1270,30,36,0.83,0.56,22,-6,2,4,0.5,0.73,100.00%,9.10%,32,14,8,0,0,0,25,0,2,2,1,0,https://www.hltv.org/stats/players/individual/301/ceh9?event=1270
zEVES,3018;1611,3018,1611,43,49,0.88,0.61,32,-6,9,6,1.5,1.16,100.00%,25.00%,39,25,4,2,1,0,36,0,0,7,0,0,https://www.hltv.org/stats/players/individual/3018/zEVES?event=1611
kUcheR,302;1270,302,1270,89,117,0.76,0.57,63,-28,15,14,1.07,1,93.30%,18.90%,92,42,16,5,0,0,71,4,0,13,1,0,https://www.hltv.org/stats/players/individual/302/kUcheR?event=1270
kUcheR,302;1333,302,1333,104,94,1.11,0.74,65,10,16,9,1.78,1.13,62.50%,15.20%,75,39,18,6,0,2,85,8,0,9,2,0,https://www.hltv.org/stats/players/individual/302/kUcheR?event=1333
kUcheR,302;1444,302,1444,30,46,0.65,0.47,22,-16,2,7,0.29,0.64,100.00%,7.10%,42,14,8,0,0,0,24,2,0,4,0,0,https://www.hltv.org/stats/players/individual/302/kUcheR?event=1444
kUcheR,302;1553,302,1553,65,64,1.02,0.69,45,1,11,7,1.57,1.13,54.50%,14.00%,49,31,10,3,0,1,51,1,2,11,0,0,https://www.hltv.org/stats/players/individual/302/kUcheR?event=1553
kUcheR,302;1611,302,1611,37,44,0.84,0.64,26,-7,7,5,1.4,1.13,85.70%,23.10%,32,18,5,3,0,0,10,22,0,5,0,0,https://www.hltv.org/stats/players/individual/302/kUcheR?event=1611
starix,303;1270,303,1270,22,44,0.5,0.41,19,-22,4,7,0.57,0.82,75.00%,13.60%,35,16,3,0,0,0,8,8,0,5,1,0,https://www.hltv.org/stats/players/individual/303/starix?event=1270
starix,303;1333,303,1333,39,33,1.18,0.74,28,6,6,3,2,1.14,50.00%,14.30%,25,20,6,2,0,0,30,0,0,8,1,0,https://www.hltv.org/stats/players/individual/303/starix?event=1333
starix,303;1444,303,1444,104,110,0.95,0.63,72,-6,8,12,0.67,0.79,75.00%,6.90%,94,48,17,6,1,0,87,0,0,16,1,0,https://www.hltv.org/stats/players/individual/303/starix?event=1444
starix,303;1553,303,1553,105,118,0.89,0.59,73,-13,15,15,1,0.95,93.30%,15.40%,105,50,15,7,1,0,77,2,0,21,5,0,https://www.hltv.org/stats/players/individual/303/starix?event=1553
starix,303;1611,303,1611,69,94,0.73,0.5,54,-25,8,11,0.73,0.82,50.00%,5.70%,83,40,13,1,0,0,46,11,0,12,0,0,https://www.hltv.org/stats/players/individual/303/starix?event=1611
