name,Player ID,Profile picture
suNny,5479,
SunPayus,19164,
svyat,12016,
swag,5021,
syrsoN,7266,
SZPERO,973,
tabseN,5794,
TACO,9217,
tarik,8523,
TaZ,161,
TENZKI,5287,
TeSeS,12018,
Thomas,13018,
THREAT,37,
tiziaN,5796,
tonyblack,1950,
topguN,8086,
torzsi,18072,
Troubley,128,
twist,7443,
Twistzz,10394,
ub1que,7405,
ultra,3919,
USTILO,8771,
Uzzziii,7391,
valde,9031,
VINI,12822,
volt,20358,
w0nderful,20127,
waterfaLLZ,8727,
wayLander,7796,
WorldEdit,7403,
Woro2k,16885,
woxic,8574,
XANTARES,7938,
xartE,7537,
xccurate,10263,
xelos,5373,
xertioN,20312,
Xizt,884,
xseveN,7248,
Xyp9x,4954,https://liquipedia.net/commons/images/thumb/6/6c/Xyp9x_%40_PGL_Antwerp_2022_EU_B_RMR.jpg/600px-Xyp9x_%40_PGL_Antwerp_2022_EU_B_RMR.jpg
yam,2555,
yay,8513,
YEKINDAR,13915,https://liquipedia.net/commons/images/thumb/5/5b/YEKINDAR_at_Rio_Major_2022_AME_RMR.jpg/600px-YEKINDAR_at_Rio_Major_2022_AME_RMR.jpg
yuurih,12553,
zehN,1378,
Zellsis,13188,
zende,5045,
Zero,8413,
Zeus,484,
zEVES,3018,
zews,6608,
znajder,3847,
zonic,21,
zqkS,7383,
Zyphon,20090,
ZywOo,11893,https://liquipedia.net/commons/images/thumb/d/d5/ZywOo_at_IEM_Cologne_2023.jpg/600px-ZywOo_at_IEM_Cologne_2023.jpg
