name,nationality,team,maps,rounds,KD-diff,KD,rating,event,event_ID,Full name,Player ID,Full link,name,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
nawwk,Sweden,Apeks,11,303,28,1.16,1.07,BLAST.tv Paris Major 2023,6793,Tim 'nawwk' Jonasson,13670,https://www.hltv.org/player/13670/nawwk,nawwk,13670,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/13670/nawwk?event=6973
Woro2k,Ukraine,Monte,8,205,7,1.05,1.06,BLAST.tv Paris Major 2023,6793,Volodymyr 'Woro2k' Veletniuk,16885,https://www.hltv.org/player/16885/woro2k,Woro2k,16885,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/16885/Woro2k?event=6973
jabbi,Denmark,Heroic,11,292,-5,0.97,1.04,BLAST.tv Paris Major 2023,6793,Jakob 'jabbi' Nygaard,17956,https://www.hltv.org/player/17956/jabbi,jabbi,17956,6973,119,109,1.09,0.65,80,10,22,22,1,1.07,81.80%,16.40%,103,51,21,6,2,0,92,2,8,16,0,1,https://www.hltv.org/stats/players/individual/17956/jabbi?event=6973
apEX,France,Vitality,10,277,3,1.02,1.04,BLAST.tv Paris Major 2023,6793,Dan 'apEX' Madesclaire,7322,https://www.hltv.org/player/7322/apex,apEX,7322,6973,111,109,1.02,0.58,80,2,14,18,0.78,0.88,100.00%,11.40%,110,54,21,5,0,0,86,0,4,17,4,0,https://www.hltv.org/stats/players/individual/7322/apEX?event=6973
nicoodoz,Denmark,fnatic,9,253,9,1.05,1.04,BLAST.tv Paris Major 2023,6793,Nico 'nicoodoz' Tamjidi,13602,https://www.hltv.org/player/13602/nicoodoz,nicoodoz,13602,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/13602/nicoodoz?event=6973
DemQQ,Ukraine,Monte,8,205,0,1,1.04,BLAST.tv Paris Major 2023,6793,Sergiy 'DemQQ' Demchenko,19733,https://www.hltv.org/player/19733/demqq,DemQQ,19733,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/19733/DemQQ?event=6973
siuhy,Poland,GamerLegion,12,306,0,1,1.04,BLAST.tv Paris Major 2023,6793,Kamil 'siuhy' Szkaradek,16820,https://www.hltv.org/player/16820/siuhy,siuhy,16820,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/16820/siuhy?event=6973
electroNic,Russia,Natus Vincere,8,212,-12,0.92,1.03,BLAST.tv Paris Major 2023,6793,Denis 'electroNic' Sharipov,8918,https://www.hltv.org/player/8918/electronic,electroNic,8918,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/8918/electroNic?event=6973
volt,United Kingdom,Into the Breach,10,265,11,1.07,1.03,BLAST.tv Paris Major 2023,6793,Sebastian 'volt' MaloÈ™,20358,https://www.hltv.org/player/20358/volt,volt,20358,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/20358/volt?event=6973
rallen,Poland,Into the Breach,10,265,3,1.02,1.03,BLAST.tv Paris Major 2023,6793,Karol 'rallen' Rodowicz,5388,https://www.hltv.org/player/5388/rallen,rallen,5388,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/5388/rallen?event=6973
Aleksib,Finland,Ninjas in Pyjamas,7,196,3,1.02,1.03,BLAST.tv Paris Major 2023,6793,Aleksi 'Aleksib' Virolainen,9816,https://www.hltv.org/player/9816/aleksib,Aleksib,9816,6973,193,210,0.92,0.59,135,-17,24,36,0.67,0.85,66.70%,9.90%,192,93,26,16,0,0,136,0,19,35,3,1,https://www.hltv.org/stats/players/individual/9816/Aleksib?event=6973
REZ,Sweden,Ninjas in Pyjamas,7,196,-5,0.96,1.03,BLAST.tv Paris Major 2023,6793,Fredrik 'REZ' Sterner,9278,https://www.hltv.org/player/9278/rez,REZ,9278,6973,180,188,0.96,0.59,131,-8,34,25,1.36,1.09,70.60%,15.40%,174,91,32,7,1,0,143,0,4,32,1,2,https://www.hltv.org/stats/players/individual/9278/REZ?event=6973
isak,Sweden,GamerLegion,12,306,-7,0.96,1.03,BLAST.tv Paris Major 2023,6793,Isak 'isak' FahlÃ©n,17937,https://www.hltv.org/player/17937/isak,isak,17937,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/17937/isak?event=6973
nitr0,United States,Liquid,9,245,-5,0.97,1.03,BLAST.tv Paris Major 2023,6793,Nick 'nitr0' Cannella,7687,https://www.hltv.org/player/7687/nitr0,nitr0,7687,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/7687/nitr0?event=6973
kRaSnaL,Poland,Monte,8,205,-11,0.92,1.01,BLAST.tv Paris Major 2023,6793,Szymon 'kRaSnaL' Mrozek,20282,https://www.hltv.org/player/20282/krasnal,kRaSnaL,20282,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/20282/kRaSnaL?event=6973
Twistzz,Canada,FaZe,13,357,-22,0.91,1,BLAST.tv Paris Major 2023,6793,Russel 'Twistzz' Van Dulken,10394,https://www.hltv.org/player/10394/twistzz,Twistzz,10394,6973,191,135,1.41,0.81,123,56,30,14,2.14,1.2,73.30%,16.40%,113,72,36,13,2,0,156,2,5,25,3,1,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=6973
kyxsan,North Macedonia,Apeks,11,303,-12,0.94,1,BLAST.tv Paris Major 2023,6793,Damjan 'kyxsan' Stoilkovski,19677,https://www.hltv.org/player/19677/kyxsan,kyxsan,19677,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/19677/kyxsan?event=6973
b1t,Ukraine,Natus Vincere,8,212,-10,0.93,1,BLAST.tv Paris Major 2023,6793,Valeriy 'b1t' Vakhovskiy,18987,https://www.hltv.org/player/18987/b1t,b1t,18987,6973,213,211,1.01,0.65,149,2,29,28,1.04,0.97,58.60%,10.50%,178,94,47,7,1,0,152,3,9,49,0,1,https://www.hltv.org/stats/players/individual/18987/b1t?event=6973
sjuush,Denmark,Heroic,11,292,-14,0.93,0.99,BLAST.tv Paris Major 2023,6793,Rasmus 'sjuush' Beck,14148,https://www.hltv.org/player/14148/sjuush,sjuush,14148,6973,115,113,1.02,0.63,79,2,15,12,1.25,0.97,93.30%,12.70%,104,54,17,5,3,0,90,0,8,15,2,0,https://www.hltv.org/stats/players/individual/14148/sjuush?event=6973
