name,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
Thomas,13018,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/13018/Thomas?event=6973
k0nfig,9078,6973,210,215,0.98,0.69,145,-5,28,33,0.85,0.95,71.4%,12.8%,160,98,32,12,3,0,171,0,5,33,1,0,https://www.hltv.org/stats/players/individual/9078/k0nfig?event=6973
SunPayus,19164,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/19164/SunPayus?event=6973
hades,16848,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/16848/hades?event=6973
arT,12521,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/12521/arT?event=6973
Keoz,15117,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/15117/Keoz?event=6973
Maden,11777,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/11777/Maden?event=6973
karrigan,429,6973,129,150,0.86,0.55,92,-21,19,28,0.68,0.87,84.2%,11.9%,144,60,27,5,0,0,96,0,8,23,2,0,https://www.hltv.org/stats/players/individual/429/karrigan?event=6973
Kylar,19114,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/19114/Kylar?event=6973
HooXi,10096,6973,162,220,0.74,0.49,121,-58,17,47,0.36,0.69,70.6%,7.1%,210,86,30,4,1,0,111,9,22,19,1,1,https://www.hltv.org/stats/players/individual/10096/HooXi?event=6973
