name,nationality,team,maps,rounds,KD-diff,KD,rating,event,event_ID,Full name,Player ID,Full link
Kylar,Poland,9INE,4,104,-22,0.72,0.81,BLAST.tv Paris Major 2023,6973,Kacper 'Kylar' Walukiewicz,19114,https://www.hltv.org/player/19114/kylar
HooXi,Denmark,G2,7,196,-46,0.66,0.81,BLAST.tv Paris Major 2023,6973,Rasmus 'HooXi' Nielsen,10096,https://www.hltv.org/player/10096/hooxi
yuurih,Brazil,FURIA,4,94,-22,0.68,0.79,BLAST.tv Paris Major 2023,6973,Yuri 'yuurih' Santos,12553,https://www.hltv.org/player/12553/yuurih
Snappi,Denmark,ENCE,5,126,-38,0.63,0.78,BLAST.tv Paris Major 2023,6973,Marco 'Snappi' Pfeiffer,922,https://www.hltv.org/player/922/snappi
npl,Ukraine,Natus Vincere,8,212,-51,0.66,0.75,BLAST.tv Paris Major 2023,6973,Andrii 'npl' Kukharskyi,21708,https://www.hltv.org/player/21708/npl
mynio,Poland,9INE,4,104,-30,0.63,0.74,BLAST.tv Paris Major 2023,6973,Wiktor 'mynio' Kruk,4829,https://www.hltv.org/player/4829/mynio
saffee,Brazil,FURIA,4,94,-19,0.71,0.69,BLAST.tv Paris Major 2023,6973,Rafael 'saffee' Costa,18835,https://www.hltv.org/player/18835/saffee
KEi,Poland,9INE,4,104,-33,0.61,0.68,BLAST.tv Paris Major 2023,6973,Kamil 'KEi' Pietkun,17504,https://www.hltv.org/player/17504/kei
drop,Brazil,FURIA,4,94,-30,0.56,0.61,BLAST.tv Paris Major 2023,6973,AndrÃ© 'drop' Abreu,19750,https://www.hltv.org/player/19750/drop
sh1ro,Russia,Cloud9,7,191,63,1.66,1.35,IEM Rio Major 2022,6586,Dmitry 'sh1ro' Sokolov,16920,https://www.hltv.org/player/16920/sh1ro
KSCERATO,Brazil,FURIA,10,259,65,1.45,1.33,IEM Rio Major 2022,6586,Kaike 'KSCERATO' Cerato,15631,https://www.hltv.org/player/15631/kscerato
Jame,Russia,Outsiders,12,314,98,1.67,1.3,IEM Rio Major 2022,6586,Dzhami 'Jame' Ali,13776,https://www.hltv.org/player/13776/jame
FL1T,Russia,Outsiders,12,314,64,1.35,1.25,IEM Rio Major 2022,6586,Evgenii 'FL1T' Lebedev,12732,https://www.hltv.org/player/12732/fl1t
fame,Russia,Outsiders,12,314,63,1.35,1.24,IEM Rio Major 2022,6586,Petr 'fame' Bolyshev,20101,https://www.hltv.org/player/20101/fame
Zyphon,Denmark,Sprout,6,154,33,1.31,1.2,IEM Rio Major 2022,6586,Rasmus 'Zyphon' Nordfoss,20090,https://www.hltv.org/player/20090/zyphon
w0nderful,Ukraine,Spirit,10,269,60,1.41,1.2,IEM Rio Major 2022,6586,Ihor 'w0nderful' Zhdanov,20127,https://www.hltv.org/player/20127/w0nderful
s1mple,Ukraine,Natus Vincere,10,287,42,1.24,1.18,IEM Rio Major 2022,6586,Oleksandr 's1mple' Kostyliev,7998,https://www.hltv.org/player/7998/s1mple
SunPayus,Spain,ENCE,8,200,35,1.3,1.16,IEM Rio Major 2022,6586,Alvaro 'SunPayus' Garcia,19164,https://www.hltv.org/player/19164/sunpayus
ropz,Estonia,FaZe,5,153,17,1.17,1.15,IEM Rio Major 2022,6586,Robin 'ropz' Kool,11816,https://www.hltv.org/player/11816/ropz
frozen,Slovakia,MOUZ,14,359,49,1.25,1.14,IEM Rio Major 2022,6586,David 'frozen' ÄŒerÅˆanskÃ½,9960,https://www.hltv.org/player/9960/frozen
yuurih,Brazil,FURIA,10,259,34,1.23,1.13,IEM Rio Major 2022,6586,Yuri 'yuurih' Santos,12553,https://www.hltv.org/player/12553/yuurih
