Name,Full name,Player ID,Full link
k1to,Nils 'k1to' Gruhne,12781,https://www.hltv.org/player/12781/k1to
s1ren,Pavel 's1ren' Ogloblin,18506,https://www.hltv.org/player/18506/s1ren
Staehr,Victor 'Staehr' Staehr,20304,https://www.hltv.org/player/20304/staehr
syrsoN,Florian 'syrsoN' Rische,7266,https://www.hltv.org/player/7266/syrson
valde,Valdemar 'valde' BjÃ¸rn VangsÃ¥,9031,https://www.hltv.org/player/9031/valde
torzsi,ÃdÃ¡m 'torzsi' TorzsÃ¡s,18072,https://www.hltv.org/player/18072/torzsi
s1n,Elias 's1n' Stein,20104,https://www.hltv.org/player/20104/s1n
Krimbo,Karim 'Krimbo' Moussa,19899,https://www.hltv.org/player/19899/krimbo
es3tag,Patrick 'es3tag' Hansen,8611,https://www.hltv.org/player/8611/es3tag
Qikert,Alexey 'Qikert' Golubev,13239,https://www.hltv.org/player/13239/qikert
xertioN,Dorian 'xertioN' Berman,20312,https://www.hltv.org/player/20312/xertion
JDC,Jon 'JDC' de Castro,14929,https://www.hltv.org/player/14929/jdc
dexter,Christopher 'dexter' Nong,9115,https://www.hltv.org/player/9115/dexter
interz,Timofey 'interz' Yakushin,15071,https://www.hltv.org/player/15071/interz
refrezh,Ismail 'refrezh' Ali,10610,https://www.hltv.org/player/10610/refrezh
lauNX,LaurenÈ›iu 'lauNX' ÈšÃ¢rlea,20761,https://www.hltv.org/player/20761/launx
tabseN,Johannes 'tabseN' Wodarz,5794,https://www.hltv.org/player/5794/tabsen
slaxz-,Fritz 'slaxz-' Dietrich,15370,https://www.hltv.org/player/15370/slaxz
fer,Fernando 'fer' Alvarenga,8564,https://www.hltv.org/player/8564/fer
degster,Abdul 'degster' Gasanov,17306,https://www.hltv.org/player/17306/degster
faveN,Josef 'faveN' Baumann,14932,https://www.hltv.org/player/14932/faven
VINI,Vinicius 'VINI' Figueiredo,12822,https://www.hltv.org/player/12822/vini
buster,Timur 'buster' Tulepov,11942,https://www.hltv.org/player/11942/buster
boltz,Ricardo 'boltz' Prass,8568,https://www.hltv.org/player/8568/boltz
FalleN,Gabriel 'FalleN' Toledo,2023,https://www.hltv.org/player/2023/fallen
JACKZ,Audric 'JACKZ' Jug,284,https://www.hltv.org/player/284/jackz
Boombl4,Kirill 'Boombl4' Mikhailov,11840,https://www.hltv.org/player/11840/boombl4
misutaaa,KÃ©vin 'misutaaa' Rabier,14176,https://www.hltv.org/player/14176/misutaaa
Plopski,Nicolas 'Plopski' Gonzalez Zamora,14218,https://www.hltv.org/player/14218/plopski
tiziaN,Tizian 'tiziaN' Feldbusch,5796,https://www.hltv.org/player/5796/tizian
fnx,Lincoln 'fnx' Lau,557,https://www.hltv.org/player/557/fnx
shox,Richard 'shox' Papillon,1225,https://www.hltv.org/player/1225/shox
Bymas,Aurimas 'Bymas' Pipiras,19015,https://www.hltv.org/player/19015/bymas
nexa,Nemanja 'nexa' IsakoviÄ‡,9618,https://www.hltv.org/player/9618/nexa
El1an,Aleksei 'El1an' Gusev,13281,https://www.hltv.org/player/13281/el1an
AMANEK,FranÃ§ois 'AMANEK' Delaunay,9616,https://www.hltv.org/player/9616/amanek
device,Nicolai 'device' Reedtz,7592,https://www.hltv.org/player/7592/device
olofmeister,Olof 'olofmeister' Kajbjer,885,https://www.hltv.org/player/885/olofmeister
MICHU,MichaÅ‚ 'MICHU' MÃ¼ller,7356,https://www.hltv.org/player/7356/michu
Brehze,Vincent 'Brehze' Cayonte,9136,https://www.hltv.org/player/9136/brehze
Stewie2K,Jake 'Stewie2K' Yip,8797,https://www.hltv.org/player/8797/stewie2k
Forester,Igor 'Forester' Bezotecheskiy,13982,https://www.hltv.org/player/13982/forester
Lack1,Viktor 'Lack1' Boldyrev,13240,https://www.hltv.org/player/13240/lack1
gla1ve,Lukas 'gla1ve' Rossander,7412,https://www.hltv.org/player/7412/gla1ve
CeRq,Tsvetelin 'CeRq' Dimitrov,11219,https://www.hltv.org/player/11219/cerq
Krad,Vladislav 'Krad' Kravchenko,12027,https://www.hltv.org/player/12027/krad
Kyojin,Jayson 'Kyojin' Nguyen Van,19672,https://www.hltv.org/player/19672/kyojin
Lucky,Philip 'Lucky' Ewald,13843,https://www.hltv.org/player/13843/lucky
NickelBack,Aleksei 'NickelBack' Trofimov,11498,https://www.hltv.org/player/11498/nickelback
Grim,Michael 'Grim' Wince,13578,https://www.hltv.org/player/13578/grim
oBo,Owen 'oBo' Schlatter,14614,https://www.hltv.org/player/14614/obo
Xyp9x,Andreas 'Xyp9x' HÃ¸jsleth,4954,https://www.hltv.org/player/4954/xyp9x
LNZ,Linus 'LNZ' HoltÃ¤ng,19310,https://www.hltv.org/player/19310/lnz
doto,Joonas 'doto' Forss,9819,https://www.hltv.org/player/9819/doto
stanislaw,Peter 'stanislaw' Jarguz,8507,https://www.hltv.org/player/8507/stanislaw
allu,Aleksi 'allu' Jalli,695,https://www.hltv.org/player/695/allu
Kjaerbye,Markus 'Kjaerbye' KjÃ¦rbye,8394,https://www.hltv.org/player/8394/kjaerbye
sergej,Jere 'sergej' Salo,11916,https://www.hltv.org/player/11916/sergej
ottoNd,Otto 'ottoNd' Sihvo,11283,https://www.hltv.org/player/11283/ottond
flamie,Egor 'flamie' Vasilyev,7594,https://www.hltv.org/player/7594/flamie
Liazz,Jay 'Liazz' Tregillgas,10588,https://www.hltv.org/player/10588/liazz
tarik,Tarik 'tarik' Celik,8523,https://www.hltv.org/player/8523/tarik
gade,Nicklas 'gade' Gade,8875,https://www.hltv.org/player/8875/gade
ALEX,Alex 'ALEX' McMeekin,8184,https://www.hltv.org/player/8184/alex
woxic,Ã–zgÃ¼r 'woxic' Eker,8574,https://www.hltv.org/player/8574/woxic
aizy,Philip 'aizy' Aistrup,8095,https://www.hltv.org/player/8095/aizy
EspiranTo,Rokas 'EspiranTo' Milasauskas,12030,https://www.hltv.org/player/12030/espiranto
chrisJ,Chris 'chrisJ' de Jong,2730,https://www.hltv.org/player/2730/chrisj
Gratisfaction,Sean 'Gratisfaction' Kaiwai,9686,https://www.hltv.org/player/9686/gratisfaction
RpK,CÃ©dric 'RpK' Guipouy,7169,https://www.hltv.org/player/7169/rpk
SANJI,Sanjar 'SANJI' Kuliev,11716,https://www.hltv.org/player/11716/sanji
Aerial,Jani 'Aerial' Jussila,4076,https://www.hltv.org/player/4076/aerial
kennyS,Kenny 'kennyS' Schrub,7167,https://www.hltv.org/player/7167/kennys
AZR,Aaron 'AZR' Ward,8082,https://www.hltv.org/player/8082/azr
xseveN,Sami 'xseveN' Laasanen,7248,https://www.hltv.org/player/7248/xseven
Zeus,Danylo 'Zeus' Teslenko,484,https://www.hltv.org/player/484/zeus
JUGi,Jakob 'JUGi' Hansen,8783,https://www.hltv.org/player/8783/jugi
Ethan,Ethan 'Ethan' Arnold,10671,https://www.hltv.org/player/10671/ethan
Lekr0,Jonas 'Lekr0' Olofsson,9261,https://www.hltv.org/player/9261/lekr0
NEO,Filip 'NEO' Kubski,165,https://www.hltv.org/player/9261/lekr0
AdreN,Dauren 'AdreN' Kystaubayev,334,https://www.hltv.org/player/334/adren
GuardiaN,Ladislav 'GuardiaN' KovÃ¡cs,2757,https://www.hltv.org/player/2757/guardian
LUCAS1,Lucas 'LUCAS1' Teles,8566,https://www.hltv.org/player/8566/lucas1
TACO,Epitacio 'TACO' de Melo,9217,https://www.hltv.org/player/9217/taco
NBK-,Nathan 'NBK-' Schmitt,7168,https://www.hltv.org/player/7168/nbk
svyat,Svyatoslav 'svyat' Dovbakh,12016,https://www.hltv.org/player/12016/svyat
LETN1,Nestor 'LETN1' TaniÄ‡,4216,https://www.hltv.org/player/4216/letn1
speed4k,Anton 'speed4k' Titov,13155,https://www.hltv.org/player/13155/speed4k
GeT_RiGhT,Christopher 'GeT_RiGhT' Alesund,39,https://www.hltv.org/player/39/get-right
kinqie,Semyon 'kinqie' Lisitsyn,3459,https://www.hltv.org/player/3459/kinqie
Golden,Maikil 'Golden' Selim,11110,https://www.hltv.org/player/11110/golden
zews,Wilton 'zews' Prado,6608,https://www.hltv.org/player/6608/zews
f0rest,Patrik 'f0rest' Lindberg,29,https://www.hltv.org/player/29/f0rest
coldzera,Marcelo 'coldzera' David,9216,https://www.hltv.org/player/9216/coldzera
flusha,Robin 'flusha' RÃ¶nnquist,3055,https://www.hltv.org/player/3055/flusha
autimatic,Timothy 'autimatic' Ta,8735,https://www.hltv.org/player/8735/autimatic
nex,Nemanja 'nexa' IsakoviÄ‡,9618,https://www.hltv.org/player/9618/nexa
Edward,Ioann 'Edward' Sukhariev,483,https://www.hltv.org/player/483/edward
kioShiMa,Fabien 'kioShiMa' Fiey,4959,https://www.hltv.org/player/4959/kioshima
ShahZaM,Shahzeb 'ShahZaM' Khan,7810,https://www.hltv.org/player/7810/shahzam
ISSAA,Issa 'ISSAA' Murad,10449,https://www.hltv.org/player/10449/issaa
